Name,Status,Location,Manufacturer,Item_Type,Model,Inventory_Number,User
PC-ADM-001,En production,Administration,Dell,Computer,OptiPlex 7010,ITU-2026-0001,Rakoto Jean
PC-ADM-002,En production,Administration,HP,Computer,ProDesk 400 G9,ITU-2026-0002,Rasoanaivo Marie
PC-COMPTA-001,En production,Comptabilité,Lenovo,Computer,ThinkCentre M70,ITU-2026-0003,Rakotondranaivo Paul
PC-COMPTA-002,Maintenance,Comptabilité,Dell,Computer,OptiPlex 7020,ITU-2026-0004,Rabe Hanitra
PC-LAB-001,En production,Laboratoire IA,HP,Computer,EliteDesk 800 G8,ITU-2026-0005,ITU Labs
PC-LAB-002,En production,Laboratoire IA,Lenovo,Computer,ThinkCentre M75,ITU-2026-0006,ITU Labs
PC-LAB-003,En production,Laboratoire IA,Dell,Computer,OptiPlex 7090,ITU-2026-0007,ITU Labs
PC-BIB-001,En production,Bibliothèque,HP,Computer,ProDesk 600 G6,ITU-2026-0008,Bibliothèque
PC-FORM-001,En stock,Magasin Informatique,Lenovo,Computer,ThinkCentre Neo 50,ITU-2026-0009,
MN-FORM-002,en panne ,Salle 301,Dell,moniteur,AC1000,ITU-2026-0010,Rakoto Michel
TEL-ADM-001, EN PRODUCTION ,Administration,Yealink,téléphone,T46U,ITU-2026-0011,Rakoto Jean
PC-LAB-012,maintenance,Laboratoire IA,HP,computer,ProDesk 400 G9,  ITU-2026-0012  ,Rasoanaivo Marie
MN-FORM-013,En stock,Salle 302,Dell,Monitor,AC1000,ITU-2026-0013,
TEL-ADM-014,En panne,Administration,Yealink,Phone,T31G,ITU-2026-0014,Rakotondranaivo Paul
PC-BIB-015,En production,Bibliothèque,Lenovo,Computer,OptiPlex 7020,ITU-2026-0015,Rabe Hanitra
MN-FORM-016,En stock,Magasin Informatique,HP,Monitor,EliteDisplay E243,ITU-2026-0016,
TEL-ADM-017,Maintenance,Administration,Yealink,Phone,T48U,ITU-2026-0017,ITU Labs
PC-COMPTA-018,En panne,Comptabilité,Dell,Computer,EliteDesk 800 G8,ITU-2026-0018,Bibliothèque
MN-FORM-019,En production,Administration,Dell,Monitor,ThinkVision T24i,ITU-2026-0019,Rakoto Michel
TEL-ADM-020,En stock,Administration,Yealink,Phone,T46U,ITU-2026-0020,
PC-LAB-021,Maintenance,Laboratoire IA,Lenovo,Computer,ThinkCentre M75,ITU-2026-0021,Rakoto Jean
MN-FORM-022,En panne,Comptabilité,HP,Monitor,AC1000,ITU-2026-0022,Rasoanaivo Marie
TEL-ADM-023,En production,Administration,Yealink,Phone,T31G,ITU-2026-0023,Rakotondranaivo Paul
PC-ADM-024,En stock,Administration,Dell,Computer,OptiPlex 7090,ITU-2026-0024,
MN-FORM-025,Maintenance,Laboratoire IA,Dell,Monitor,UltraSharp 24,ITU-2026-0025,Rabe Hanitra
TEL-ADM-026,En panne,Administration,Yealink,Phone,T48U,ITU-2026-0026,ITU Labs
PC-COMPTA-027,En production,Comptabilité,HP,Computer,ProDesk 600 G6,ITU-2026-0027,Bibliothèque
MN-FORM-028,En stock,Bibliothèque,HP,Monitor,EliteDisplay E243,ITU-2026-0028,
TEL-ADM-029,Maintenance,Administration,Yealink,Phone,T46U,ITU-2026-0029,Rakoto Michel
PC-SALLE-030,En panne,Salle 301,Lenovo,Computer,ThinkCentre Neo 50,ITU-2026-0030,Rakoto Jean
MN-FORM-031,En production,Salle 302,Dell,Monitor,ThinkVision T24i,ITU-2026-0031,Rasoanaivo Marie
TEL-ADM-032,En stock,Administration,Yealink,Phone,T31G,ITU-2026-0032,
PC-SALLE-033,Maintenance,Salle 303,Dell,Computer,OptiPlex 7010,ITU-2026-0033,Rakotondranaivo Paul
MN-FORM-034,En panne,Magasin Informatique,HP,Monitor,AC1000,ITU-2026-0034,Rabe Hanitra
TEL-ADM-035,En production,Administration,Yealink,Phone,T48U,ITU-2026-0035,ITU Labs
PC-FORM-036,En stock,Magasin Informatique,HP,Computer,ProDesk 400 G9,ITU-2026-0036,
MN-FORM-037,Maintenance,Administration,Dell,Monitor,UltraSharp 24,ITU-2026-0037,Bibliothèque
TEL-ADM-038,En panne,Administration,Yealink,Phone,T46U,ITU-2026-0038,Rakoto Michel
